# linux cli commands,category,description;;;;NI
# categories:;;;;NI
# 0: undefined at present;;;;NI
uniq;8;suppression lignes identiques;;_installed_
passwd;9;changement pwd;chage;_installed_
usermod;9;modification compte utilisateur;;_installed_
userdel;9;suppression compte;;_installed_
adduser;9;création utilisateur;;_installed_
addgroup;9;création groupe d'utilisateurs;adduser;_installed_
useradd;9;création utilisateur (bas niveau!);adduser;_installed_
id;9;affiche les infos sur un utilisateur;;_installed_
groups;9;affiche les groupes existants;;_installed_
groupadd;9;création groupe;;_installed_
which;7;localisation (chemin) d'un programme;locate;_installed_
type;7;indique si une commande est interne (_builtin_) ou externe;;_builtin_
tty;7;indique le terminal courant (`/dev/pts/XX`);;_installed_
seq;7;_print a sequence of numbers_;;_installed_
depmod;13;_generates modules.dep and map files_;;_installed_
insmod;13;_insert a module into the kernel_;;_installed_
lsmod;13;_show the status of modules in the kernel_;;_installed_
modinfo;13;_show information about a module_;;_installed_
modprobe;13;_add and remove modules from the kernel_;;_installed_
rmmod;13;_remove a module from the kernel_;;_installed_
logger;13;écriture dans un log système;;_installed_
systemctl;13;gestion des services (CLI/systemd);;_installed_
journalctl;13;outil d'accès aux logs systemd;;_installed_
dmesg;13;affichage logs kernel (buffer circulaire);;_installed_
yes;7;_output a string repeatedly until killed_;;_installed_
hey;7;_HTTP load generator_;;NI
tmux;7;multiplexeur de terminal;screen;_installed_
screen;7;multiplexeur de terminal;tmux;_installed_
