0;undefined
4;Général
14;Édition/visualisation fichiers
2;Disque & stockage
11;Manipulation fichiers
15;Manipulation dossiers
3;Réseau
5;Fichiers & permissions
1;Système & _Hardware_
6;Dev
8;Traitement données texte
9;Gestion utilisateurs
10;Installation logiciels
7;Divers
12;Gestion des jobs & process
16;controle des scripts
13;Gestion Kernel


